bench,conn,count,bytes,world,iters,min_us,median_us,p99_us,max_us,busbw_gbps
allreduce,tcp_untuned,2097152,8388608,2,200,7050.47,7304.12,7494.14,9063.41,9.188
allreduce,tcp_untuned,3145728,12582912,2,200,7967.89,8685.70,10888.45,10914.53,11.590
allreduce,tcp_untuned,4194304,16777216,2,200,10458.54,11041.38,13288.54,13327.76,12.156
allreduce,rdma,16384,65536,2,200,16.82,17.32,21.53,34.65,30.271
allreduce,rdma,65536,262144,2,200,48.08,49.27,72.97,2377.78,42.562
allreduce,rdma,262144,1048576,2,200,161.03,169.00,185.01,191.75,49.636
allreduce,rdma,1048576,4194304,2,200,611.03,621.33,708.39,736.80,54.004
allreduce,rdma,1572864,6291456,2,200,1035.93,1137.82,2636.68,3625.05,44.235
allreduce,rdma,2097152,8388608,2,200,1731.61,1773.63,2132.17,3745.69,37.837
allreduce,rdma,3145728,12582912,2,200,3164.17,3206.96,3452.47,5175.32,31.389
allreduce,rdma,4194304,16777216,2,200,4404.72,4480.60,4925.70,4987.29,29.955
allreduce,tcp,16384,65536,2,200,71.19,75.31,92.23,94.30,6.961
allreduce,tcp,65536,262144,2,200,195.32,201.87,219.12,219.16,10.389
allreduce,tcp,262144,1048576,2,200,696.83,747.88,770.15,771.59,11.216
allreduce,tcp,1048576,4194304,2,200,2899.45,2990.67,3183.39,3228.96,11.220
allreduce,tcp,1572864,6291456,2,200,4034.89,4130.45,4642.59,8659.62,12.186
allreduce,tcp,2097152,8388608,2,200,7182.56,7276.01,7591.35,7593.00,9.223
allreduce,tcp,3145728,12582912,2,200,7899.83,8114.81,8924.57,9002.30,12.405
allreduce,tcp,4194304,16777216,2,200,12680.37,12944.83,13703.89,14782.17,10.368
allreduce,tcp_untuned,16384,65536,2,200,82.25,86.39,97.52,98.63,6.069
allreduce,tcp_untuned,65536,262144,2,200,222.46,248.48,300.92,317.43,8.440
allreduce,tcp_untuned,262144,1048576,2,200,542.65,634.73,774.52,785.67,13.216
allreduce,tcp_untuned,1048576,4194304,2,200,3840.41,4010.71,4115.74,6444.82,8.366
allreduce,tcp_untuned,1572864,6291456,2,200,6113.45,6295.08,7093.17,7304.38,7.995
