bench,conn,size,depth,iters,min_us,median_us,p99_us,max_us,gbps,rep
lat_rdma_write,verbs,4096,32,1000,3.449,3.517,3.595,7.793,,4
perftest_ib_send_lat,verbs,4096,32,1000,1.80,1.84,1.98,9.32,,4
lat_send_recv,verbs,4096,32,1000,3.452,3.543,5.498,7.275,,5
lat_rdma_write,verbs,4096,32,1000,3.470,3.526,3.613,18.544,,5
perftest_ib_send_lat,verbs,4096,32,1000,1.79,1.83,1.97,9.13,,5
lat_send_recv,verbs,4096,64,1000,3.482,3.546,5.475,6.804,,1
lat_rdma_write,verbs,4096,64,1000,3.446,3.522,3.607,7.234,,1
perftest_ib_send_lat,verbs,4096,64,1000,1.79,1.83,1.97,6.11,,1
lat_send_recv,verbs,4096,64,1000,3.475,3.539,5.486,8.222,,2
lat_rdma_write,verbs,4096,64,1000,3.457,3.523,3.610,7.166,,2
perftest_ib_send_lat,verbs,4096,64,1000,1.79,1.83,1.96,9.36,,2
lat_send_recv,verbs,4096,64,1000,3.481,3.547,5.491,7.569,,3
lat_rdma_write,verbs,4096,64,1000,3.453,3.566,3.867,9.846,,3
perftest_ib_send_lat,verbs,4096,64,1000,1.79,1.83,1.95,8.74,,3
lat_send_recv,verbs,4096,64,1000,3.466,3.546,5.490,18.334,,4
lat_rdma_write,verbs,4096,64,1000,3.466,3.527,3.617,18.314,,4
perftest_ib_send_lat,verbs,4096,64,1000,1.79,1.83,1.98,8.30,,4
lat_send_recv,verbs,4096,64,1000,3.466,3.546,5.493,9.442,,5
lat_rdma_write,verbs,4096,64,1000,3.427,3.507,3.608,17.755,,5
perftest_ib_send_lat,verbs,4096,64,1000,1.77,1.83,1.97,8.17,,5
bw_rdma_write,verbs,1024,64,262144,,,,,62.439,1
perftest_ib_write_bw,verbs,1024,64,262144,,,,,54.75,1
bw_rdma_write,verbs,1024,64,262144,,,,,62.440,2
perftest_ib_write_bw,verbs,1024,64,262144,,,,,53.28,2
bw_rdma_write,verbs,1024,64,262144,,,,,63.378,3
perftest_ib_write_bw,verbs,1024,64,262144,,,,,52.23,3
bw_rdma_write,verbs,1024,64,262144,,,,,62.923,4
perftest_ib_write_bw,verbs,1024,64,262144,,,,,53.78,4
bw_rdma_write,verbs,1024,64,262144,,,,,62.890,5
perftest_ib_write_bw,verbs,1024,64,262144,,,,,53.63,5
bw_rdma_write,verbs,4096,64,65536,,,,,92.216,1
perftest_ib_write_bw,verbs,4096,64,65536,,,,,77.56,1
bw_rdma_write,verbs,4096,64,65536,,,,,92.164,2
perftest_ib_write_bw,verbs,4096,64,65536,,,,,78.01,2
bw_rdma_write,verbs,4096,64,65536,,,,,92.216,3
perftest_ib_write_bw,verbs,4096,64,65536,,,,,77.95,3
bw_rdma_write,verbs,4096,64,65536,,,,,92.216,4
perftest_ib_write_bw,verbs,4096,64,65536,,,,,77.99,4
bw_rdma_write,verbs,4096,64,65536,,,,,92.152,5
perftest_ib_write_bw,verbs,4096,64,65536,,,,,78.01,5
bw_rdma_write,verbs,16384,64,16384,,,,,92.374,1
perftest_ib_write_bw,verbs,16384,64,16384,,,,,92.44,1
bw_rdma_write,verbs,16384,64,16384,,,,,92.379,2
perftest_ib_write_bw,verbs,16384,64,16384,,,,,92.48,2
bw_rdma_write,verbs,16384,64,16384,,,,,92.373,3
perftest_ib_write_bw,verbs,16384,64,16384,,,,,92.47,3
bw_rdma_write,verbs,16384,64,16384,,,,,92.318,4
perftest_ib_write_bw,verbs,16384,64,16384,,,,,92.44,4
bw_rdma_write,verbs,16384,64,16384,,,,,92.307,5
perftest_ib_write_bw,verbs,16384,64,16384,,,,,92.47,5
bw_rdma_write,verbs,65536,64,4096,,,,,92.105,1
perftest_ib_write_bw,verbs,65536,64,4096,,,,,92.54,1
bw_rdma_write,verbs,65536,64,4096,,,,,91.753,2
perftest_ib_write_bw,verbs,65536,64,4096,,,,,92.54,2
bw_rdma_write,verbs,65536,64,4096,,,,,91.983,3
perftest_ib_write_bw,verbs,65536,64,4096,,,,,92.51,3
bw_rdma_write,verbs,65536,64,4096,,,,,92.017,4
perftest_ib_write_bw,verbs,65536,64,4096,,,,,92.54,4
bw_rdma_write,verbs,65536,64,4096,,,,,91.987,5
perftest_ib_write_bw,verbs,65536,64,4096,,,,,92.54,5
bw_rdma_write,verbs,262144,64,1024,,,,,90.744,1
perftest_ib_write_bw,verbs,262144,64,1024,,,,,92.56,1
bw_rdma_write,verbs,262144,64,1024,,,,,90.791,2
perftest_ib_write_bw,verbs,262144,64,1024,,,,,92.56,2
bw_rdma_write,verbs,262144,64,1024,,,,,90.686,3
perftest_ib_write_bw,verbs,262144,64,1024,,,,,92.56,3
bw_rdma_write,verbs,262144,64,1024,,,,,90.768,4
perftest_ib_write_bw,verbs,262144,64,1024,,,,,92.56,4
bw_rdma_write,verbs,262144,64,1024,,,,,90.728,5
perftest_ib_write_bw,verbs,262144,64,1024,,,,,92.56,5
bw_rdma_write,verbs,1048576,64,1000,,,,,90.764,1
perftest_ib_write_bw,verbs,1048576,64,1000,,,,,92.58,1
bw_rdma_write,verbs,1048576,64,1000,,,,,90.739,2
perftest_ib_write_bw,verbs,1048576,64,1000,,,,,92.58,2
bw_rdma_write,verbs,1048576,64,1000,,,,,90.765,3
perftest_ib_write_bw,verbs,1048576,64,1000,,,,,92.58,3
bw_rdma_write,verbs,1048576,64,1000,,,,,90.754,4
